id,nombre,sexo_predominante,edad_min,edad_max,incidencia_cat,prevalencia_cat,sintomas_text
a91,Patologia_91,ambos,18,28,baja,baja,"acumulación de líquido abdominal o periférico en casos de cirrosis descompensada., formación de una membrana extensa en la vía aérea superior capaz de causar obstrucción mecánica letal., indicativa de perforación., desplazamiento hacia adentro de los aritenoides o la epiglotis visualizado mediante laringoscopia flexible."
a92,Patologia_92,ambos,12,22,baja,baja,"enrojecimiento intenso de la membrana timpánica debido a la inflamación vascular., base de la úlcera cubierta por una pseudomembrana de color amarillento o grisáceo., mucosas debida a una oxigenación insuficiente., episodios de diaforesis profusa durante el sueño, coloración azulada de piel, hundimiento visible del tórax (supraesternal"
a93,Patologia_93,ambos,55,75,media,baja,"debilidad dinámica de las paredes traqueales adyacentes a la zona de estenosis fija., dolor agudo experimentado durante el acto de la deglución., característico del angioedema histaminérgico (mediado por mastocitos)., pruriginosos que afectan la dermis superficial"
a94,Patologia_94,femenino,5,20,baja,muy_baja,"disminución de la capacidad auditiva por la presencia de fluido o inflamación en el oído medio., supraclavicular visible debido al aumento del trabajo respiratorio., esfuerzo ventilatorio aumentado que progresa durante la fase de proliferación (1-6 meses de edad)., coloración azulada de la piel, orina oscura que aparece frecuentemente junto con la ictericia en la fase aguda., presencia de habones eritematosos, sensación persistente de cansancio"
a95,Patologia_95,masculino,55,65,media,alta,"carencia de reflejo tusígeno, pérdida de la transparencia, sensación de cansancio extremo, dolor de oído de inicio reciente, generalizado., localizada que se exacerba con la masticación o el habla., desplazamiento hacia adentro de los aritenoides o la epiglotis visualizado mediante laringoscopia flexible."
a96,Patologia_96,ambos,45,60,alta,alta,"sensación de quemazón o prurito que precede a la aparición de la lesión en 24-48 horas., objetiva ante el compromiso de la vía aérea superior., sensación de cansancio extremo, ganglios linfáticos anteriores del cuello agrandados, inflamación, considerado un factor contribuyente mayor., dolor localizado en la región posterior del cuello"
a97,Patologia_97,ambos,12,32,alta,muy_baja,"predominante en formas mediadas por bradicinina., sésil, coloración azulada de la piel, alteración del tono de la voz"
a98,Patologia_98,femenino,5,25,muy_baja,alta,"alteración fonatoria secundaria al estrechamiento de la vía aérea., frecuentemente asociada a cuerpos extraños laríngeos., que suele ser de moderado a grave en la fase aguda., deglución debido al compromiso de la vía aérea., hav (<0.5%) pero riesgo elevado (15-25%) en embarazadas con hev., indicativo de infección crónica o sistémica., rodillas al flexionar pasivamente el cuello., coloración azulada de piel"
a99,Patologia_99,femenino,12,22,alta,media,"a menudo en ""proyectil""., incapacidad para movilizar, elevación de la temperatura corporal, dolor agudo experimentado durante el acto de la deglución., progresivo., necróticas que pueden persistir semanas, atragantamiento o incoordinación succión-deglución."
a100,Patologia_100,femenino,12,37,baja,baja,"intercostal o subcostal) por el esfuerzo inspiratorio., rara en hbv, solución de continuidad de la mucosa, (implícito en ""laryngeal diphtheria"") manifestación clínica de la afectación laríngea que requiere intervención operativa., reflejo tusígeno brusco presente en un niño previamente sano mientras come o juega., alta en la fase activa., necróticas que pueden persistir semanas"
